latitude_deg,longitude_deg,acme_rssi_dbm,acme_bandwidth_kbps,acme_jitter_ms,atma_loss_percent,acme_rtt_ms,globex_bandwidth_kbps,globex_jitter_ms,globex_loss_percent,globex_rssi_dbm,globex_rtt_ms,octan_rssi_dbm,octan_bandwidth_kbps,octan_jitter_ms,rssi_loss_percent,octan_rtt_ms
45.45958658333333,-73.82274576666667,-60,,,,73.9,794,60.770,0,-41,69.2,-53,791,84.590,0,70.8
45.45958658333333,-73.82274576666667,-60,794,116.735,0,51.4,,,,-41,59.9,-53,,,,63.1
45.45958658333333,-73.82274576666667,-52,793,116.594,0,72.4,792,61.316,0,-41,49.0,-53,790,78.872,0,77.4
45.45958658333333,-73.82274576666667,-52,790,78.874,0,52.5,,,,-41,67.0,-53,,,,61.1
45.45958658333333,-73.82274576666667,-52,,,,61.3,793,123.158,0,-41,66.3,-53,792,61.326,0,62.8
45.45958658333333,-73.82274576666667,-52,792,84.528,0,76.9,798,131.452,0,-29,72.3,-53,791,84.119,0,58.7
45.45958658333333,-73.82274576666667,-52,,,,74.5,796,123.456,0,-37,58.7,-53,,,,84.3
45.45958658333333,-73.82274576666667,-52,792,79.813,0,68.1,,,,-37,68.0,-53,798,61.499,0,73.5
45.45958658333333,-73.82274576666667,-59,,,,68.3,793,61.307,0,-37,68.5,-59,797,83.721,0,69.1
45.45958658333333,-73.82274576666667,-59,,,,65.3,,,,-37,58.3,-59,791,61.692,0,60.5
45.45958658333333,-73.82274576666667,-53,,,,68.8,790,89.514,0,-37,71.8,-59,797,116.195,0,86.0
45.45958658333333,-73.82274576666667,-53,,,,61.3,795,101.825,0,-37,57.1,-59,,,,65.2
45.45958658333333,-73.82274576666667,-53,,,,65.0,792,60.615,0,-37,66.5,-59,,,,70.3
45.45958658333333,-73.82274576666667,-53,,,,66.2,,,,-37,72.2,-53,790,61.788,0,71.6
45.45958658333333,-73.82274576666667,-53,,,,67.6,791,115.897,0,-37,72.3,-53,,,,84.1
45.45958658333333,-73.82274576666667,-53,,,,60.1,791,60.743,0,-37,57.7,-53,792,61.375,0,76.2
45.45958658333333,-73.82274576666667,-59,,,,56.6,797,60.712,0,-30,73.3,-53,,,,69.7
45.45958658333333,-73.82274576666667,-59,,,,70.1,,,,-30,59.6,-53,793,84.807,0,61.9
45.45958658333333,-73.82274576666667,-59,,,,65.5,796,123.347,0,-36,66.2,-53,793,116.850,0,73.4
45.45958658333333,-73.82274576666667,-59,,,,58.0,793,79.320,0,-36,56.9,-53,792,61.312,0,78.1
45.45958658333333,-73.82274576666667,-59,,,,71.1,791,60.671,0,-36,66.7,-53,794,84.207,0,54.9
45.45958658333333,-73.82274576666667,-59,,,,72.1,795,131.438,1.1,-36,58.8,-53,798,61.594,0,69.8
45.45958658333333,-73.82274576666667,-53,,,,60.5,799,131.557,0,-36,65.1,-53,793,79.271,0,60.3
45.45958658333333,-73.82274576666667,-53,,,,56.7,,,,-36,61.5,-53,798,90.120,0,76.6
45.45958658333333,-73.82274576666667,-53,,,,54.3,799,61.122,0,-36,57.7,-53,,,,65.8
45.45958658333333,-73.82274576666667,-53,,,,73.9,,,,-36,57.5,-53,795,84.499,0,72.7
45.45958658333333,-73.82274576666667,-53,,,,53.9,789,60.613,0,-36,59.0,-53,,,,67.2
45.45958658333333,-73.82274576666667,-53,,,,66.7,789,65.397,0,-36,69.3,-53,799,84.070,0,79.7
45.45958658333333,-73.82274576666667,-53,,,,71.3,797,61.355,0,-36,61.1,-53,,,,54.3
45.45958658333333,-73.82274576666667,-53,,,,63.9,790,115.500,0,-36,68.5,-53,794,116.716,0,73.6
45.45958658333333,-73.82274576666667,-53,,,,55.3,,,,-36,61.0,-53,,,,66.6
45.45958658333333,-73.82274576666667,-53,,,,69.0,792,116.527,0,-29,56.5,-53,792,84.536,0,69.7
45.45958658333333,-73.82274576666667,-53,793,78.830,0,52.5,,,,-47,67.2,-53,,,,216
45.45958658333333,-73.82274576666667,-53,792,123.489,0,73.3,796,123.199,0,-47,61.9,-53,798,60.937,0,55.0
45.45958658333333,-73.82274576666667,-53,,,,60.9,794,60.929,0,-47,64.1,-61,790,73.960,0,76.4
45.45958658333333,-73.82274576666667,-53,791,108.961,0,74.0,796,123.274,0,-47,70.2,-61,796,84.041,0,56.6
45.45958658333333,-73.82274576666667,-53,,,,50.3,795,60.667,0,-47,71.2,-61,799,78.881,0,89.3
45.45958658333333,-73.82274576666667,-53,790,74.423,0,86.4,,,,-47,56.9,-61,,,,70.7
45.45958658333333,-73.82274576666667,-53,,,,69.9,789,60.666,0,-47,54.9,-61,789,79.885,0,70.1
45.45958658333333,-73.82274576666667,-53,793,84.078,0,64.0,,,,-53,65.9,-61,791,61.358,0,58.1
45.45958658333333,-73.82274576666667,-53,,,,60.3,789,60.703,0,-53,69.3,-61,797,61.279,0,59.2
45.45958658333333,-73.82274576666667,-53,793,84.050,0,52.7,799,60.916,0,-53,71.8,-61,,,,59.7
45.45958658333333,-73.82274576666667,-53,,,,68.4,793,123.259,0,-53,81.4,-61,793,84.100,0,65.4
45.45958658333333,-73.82274576666667,-60,794,116.103,0,70.1,790,115.572,0,-53,65.0,-61,,,,56.7
45.45958658333333,-73.82274576666667,-60,795,84.108,0,64.8,793,123.296,0,-53,65.7,-61,796,84.233,0,64.2
45.45958658333333,-73.82274576666667,-60,,,,59.0,790,115.536,0,-46,61.7,-55,,,,71.6
45.45958658333333,-73.82274576666667,-60,794,84.073,0,69.2,,,,-46,57.1,-55,795,61.515,0,71.1
45.45958658333333,-73.82274576666667,-43,799,84.170,0,85.2,789,115.632,0,-46,60.0,-61,789,78.858,0,58.8
45.45958658333333,-73.82274576666667,-43,,,,53.4,790,60.671,0,-46,58.6,-61,789,84.349,0,76.7
45.45958658333333,-73.82274576666667,-53,798,84.063,0,68.4,,,,-55,62.5,-61,790,61.531,0,58.2
45.45958658333333,-73.82274576666667,-53,,,,67.8,794,123.217,0,-55,59.3,-61,,,,103
45.45958658333333,-73.82274576666667,-53,794,78.919,0,57.2,790,61.264,0,-39,60.6,-61,797,61.341,0,77.4
45.45958658333333,-73.82274576666667,-53,798,84.078,0,55.1,799,78.778,0,-46,50.9,-61,,,,70.2
45.45958658333333,-73.82274576666667,-53,795,116.694,0,60.1,794,115.523,0,-46,60.4,-61,798,61.297,0,54.4
45.45958658333333,-73.82274576666667,-66,,,,70.9,,,,-46,60.5,-61,798,79.677,0,66.2
45.45958658333333,-73.82274576666667,-66,794,84.099,0,51.5,795,123.280,0,-46,59.0,-61,,,,59.8
45.45958658333333,-73.82274576666667,-66,,,,63.4,,,,-46,67.9,-61,789,89.806,0,63.6
45.45958658333333,-73.82274576666667,-66,789,78.875,0,69.8,799,123.184,0,-46,65.7,-61,794,84.087,0,59.5
45.45958658333333,-73.82274576666667,-66,790,84.154,0,66.3,794,90.549,0,-46,58.9,-61,790,61.595,0,61.7
45.45958658333333,-73.82274576666667,-59,798,90.124,0,71.4,797,123.280,0,-57,58.0,-52,797,84.100,0,73.1
45.45958658333333,-73.82274576666667,-59,,,,64.5,798,60.829,0,-57,59.4,-52,792,79.052,0,73.1
45.45958658333333,-73.82274576666667,-59,796,123.355,0,91.7,,,,-57,62.4,-43,,,,62.0
45.45958658333333,-73.82274576666667,-59,799,78.716,0,67.5,794,60.979,0,-57,66.2,-43,,,,62.5
45.45958658333333,-73.82274576666667,-59,797,78.853,0,68.2,,,,-57,61.1,-43,790,61.358,0,80.9
45.45958658333333,-73.82274576666667,-59,796,84.505,0,61.8,798,60.805,0,-57,58.9,-43,796,84.562,0,84.7
45.45958658333333,-73.82274576666667,-59,,,,66.6,792,61.164,0,-57,57.8,-57,,,,56.7
45.45958658333333,-73.82274576666667,-51,798,90.148,0,74.9,793,115.538,0,-57,62.8,-46,797,116.094,0,73.2
45.45958658333333,-73.82274576666667,-51,797,84.114,0,72.2,,,,-57,65.5,-46,,,,58.9
45.45958658333333,-73.82274576666667,-57,,,,75.5,799,69.010,0,-57,79.4,-59,,,,53.9
45.45958658333333,-73.82274576666667,-50,796,116.101,0,60.5,791,115.548,0,-47,62.7,-59,,,,80.0
45.45958658333333,-73.82274576666667,-50,,,,70.0,,,,-47,67.3,-59,789,73.963,0,79.1
45.45958658333333,-73.82274576666667,-50,795,69.793,0,72.7,793,61.009,0,-47,57.3,-42,795,61.270,0,56.0
45.45958658333333,-73.82274576666667,-50,796,84.060,0,70.4,792,60.880,0,-34,61.8,-59,797,61.365,0,68.0
45.45958658333333,-73.82274576666667,-50,796,84.162,0,55.1,,,,-34,67.6,-59,791,61.728,0,65.1
45.45958658333333,-73.82274576666667,-59,,,,67.7,793,123.232,0,-34,56.0,-59,793,84.535,0,62.3
45.45958658333333,-73.82274576666667,-59,793,84.614,0,56.4,792,78.474,0,-34,72.2,-59,,,,47.3
45.45958658333333,-73.82274576666667,-59,,,,67.2,794,60.861,0,-45,57.4,-59,796,61.560,0,74.7
45.45958658333333,-73.82274576666667,-59,796,61.285,0,64.9,790,61.778,0,-45,79.1,-59,,,,69.3
